Time (sec),Channel A (V),Channel B (V)
0.0,0.0,0.0
1.01010101010101e-06,0.0,0.0
2.02020202020202e-06,0.0,0.0
3.03030303030303e-06,0.0,0.0
4.04040404040404e-06,0.0,0.0
5.050505050505051e-06,0.0,0.0
6.06060606060606e-06,0.06250190740684225,0.0
7.0707070707070704e-06,0.0,0.0
8.08080808080808e-06,0.0,0.0
9.090909090909091e-06,0.0,0.0
1.0101010101010101e-05,0.0,0.0
1.1111111111111112e-05,0.0,0.0
1.212121212121212e-05,0.0,0.0
1.313131313131313e-05,0.0,-0.06250190740684225
1.4141414141414141e-05,-0.06250190740684225,0.0
1.5151515151515151e-05,0.0,0.0
1.616161616161616e-05,0.0,0.0
1.717171717171717e-05,-0.06250190740684225,0.0
1.8181818181818182e-05,0.0,0.0
1.919191919191919e-05,0.0,0.0
2.0202020202020203e-05,0.0,0.0
2.121212121212121e-05,0.0,0.0
2.2222222222222223e-05,0.0,0.0
2.3232323232323232e-05,0.0,0.0
2.424242424242424e-05,0.0,0.0
2.5252525252525253e-05,-0.06250190740684225,0.0
2.626262626262626e-05,0.0,0.0
2.7272727272727273e-05,0.0,0.0
2.8282828282828282e-05,0.0,0.0
2.9292929292929294e-05,0.06250190740684225,0.0
3.0303030303030302e-05,0.0,0.0
3.131313131313131e-05,0.0,0.0
3.232323232323232e-05,0.0,0.0
3.3333333333333335e-05,-0.06250190740684225,0.0
3.434343434343434e-05,0.0,0.0
3.535353535353535e-05,0.0,0.0
3.6363636363636364e-05,0.0,0.0
3.7373737373737376e-05,0.0,0.0
3.838383838383838e-05,-0.06250190740684225,0.0
3.939393939393939e-05,0.0,0.0
4.0404040404040405e-05,-0.06250190740684225,0.0
4.141414141414141e-05,0.0,0.0
4.242424242424242e-05,0.0,0.0
4.3434343434343435e-05,0.0,0.0
4.4444444444444447e-05,0.0,0.0
4.545454545454545e-05,0.0,0.0
4.6464646464646464e-05,0.06250190740684225,0.0
4.7474747474747476e-05,0.0,0.0
4.848484848484848e-05,0.0,0.0
4.949494949494949e-05,0.0,0.0
5.0505050505050505e-05,0.0,0.0
5.151515151515152e-05,0.0,0.0
5.252525252525252e-05,0.0,0.0
5.3535353535353534e-05,0.0,0.0
5.4545454545454546e-05,0.0,0.0
5.555555555555556e-05,0.0,-0.06250190740684225
5.6565656565656563e-05,0.0,0.0
5.7575757575757575e-05,0.0,0.0
5.858585858585859e-05,0.0,0.0
5.959595959595959e-05,0.0,0.0
6.0606060606060605e-05,0.0,0.0
6.161616161616162e-05,0.0,0.0
6.262626262626262e-05,0.0,0.0
6.363636363636364e-05,0.0,-0.06250190740684225
6.464646464646465e-05,0.0,0.0
6.565656565656565e-05,0.0,0.0
6.666666666666667e-05,0.0,0.0
6.767676767676768e-05,0.0,0.06250190740684225
6.868686868686868e-05,0.0,0.0
6.96969696969697e-05,0.0,0.0
7.07070707070707e-05,0.0,0.0
7.171717171717172e-05,0.0,0.0
7.272727272727273e-05,0.0,0.0
7.373737373737373e-05,0.0,0.0
7.474747474747475e-05,0.0,0.0
7.575757575757576e-05,0.0,0.0
7.676767676767676e-05,0.0,0.0
7.777777777777778e-05,-0.06250190740684225,0.0
7.878787878787879e-05,0.0,0.0
7.979797979797979e-05,0.0,0.0
8.080808080808081e-05,0.0,0.0
8.181818181818182e-05,0.0,0.0
8.282828282828282e-05,0.0,0.0
8.383838383838384e-05,-0.06250190740684225,0.0
8.484848484848485e-05,0.0,0.0
8.585858585858586e-05,0.0,0.0
8.686868686868687e-05,0.0,0.0
8.787878787878787e-05,0.0,0.06250190740684225
8.888888888888889e-05,0.0,0.0
8.98989898989899e-05,-0.06250190740684225,0.0
9.09090909090909e-05,0.0,0.0
9.191919191919192e-05,0.0,-0.06250190740684225
9.292929292929293e-05,0.0,0.0
9.393939393939393e-05,0.0,0.0
9.494949494949495e-05,0.0,0.0
9.595959595959596e-05,0.0,0.0
9.696969696969696e-05,0.0,0.0
9.797979797979798e-05,0.0,0.0
9.898989898989899e-05,0.0,0.0
0.0001,0.0,0.0
0.0,0.0,0.0
1.01010101010101e-06,0.0,0.0
2.02020202020202e-06,0.0,0.0
3.03030303030303e-06,0.0,0.0
4.04040404040404e-06,0.0,0.0
5.050505050505051e-06,0.0,0.0
6.06060606060606e-06,0.0,0.0
7.0707070707070704e-06,-0.06250190740684225,0.0
8.08080808080808e-06,0.0,0.0
9.090909090909091e-06,0.0,0.06250190740684225
1.0101010101010101e-05,-0.06250190740684225,0.0
1.1111111111111112e-05,-0.06250190740684225,0.0
1.212121212121212e-05,0.0,0.0
1.313131313131313e-05,0.0,0.0
1.4141414141414141e-05,0.0,0.0
1.5151515151515151e-05,-0.06250190740684225,0.0
1.616161616161616e-05,-0.06250190740684225,0.0
1.717171717171717e-05,0.0,0.0
1.8181818181818182e-05,0.0,0.0
1.919191919191919e-05,0.0,0.0
2.0202020202020203e-05,0.0,-0.06250190740684225
2.121212121212121e-05,0.0,0.0
2.2222222222222223e-05,-0.06250190740684225,0.0
2.3232323232323232e-05,0.0,0.0
2.424242424242424e-05,0.0,0.0
2.5252525252525253e-05,0.0,0.0
2.626262626262626e-05,0.0,0.0
2.7272727272727273e-05,0.0,0.0
2.8282828282828282e-05,0.0,0.0
2.9292929292929294e-05,0.0,-0.06250190740684225
3.0303030303030302e-05,0.0,0.0
3.131313131313131e-05,-0.06250190740684225,-0.06250190740684225
3.232323232323232e-05,-0.06250190740684225,0.0
3.3333333333333335e-05,0.0,0.0
3.434343434343434e-05,0.0,0.0
3.535353535353535e-05,0.0,0.0
3.6363636363636364e-05,0.0,0.0
3.7373737373737376e-05,0.0,0.0
3.838383838383838e-05,-0.06250190740684225,0.0
3.939393939393939e-05,-0.06250190740684225,0.0
4.0404040404040405e-05,0.0,0.0
4.141414141414141e-05,0.0,0.0
4.242424242424242e-05,0.0,0.0
4.3434343434343435e-05,0.0,0.0
4.4444444444444447e-05,0.0,0.0
4.545454545454545e-05,-0.06250190740684225,0.0
4.6464646464646464e-05,0.0,0.0
4.7474747474747476e-05,0.0,0.0
4.848484848484848e-05,0.0,0.0
4.949494949494949e-05,0.0,-0.06250190740684225
5.0505050505050505e-05,0.0,0.0
5.151515151515152e-05,0.0,0.0
5.252525252525252e-05,0.0,0.0
5.3535353535353534e-05,0.0,0.0
5.4545454545454546e-05,0.0,0.0
5.555555555555556e-05,0.0,0.0
5.6565656565656563e-05,0.0,0.0
5.7575757575757575e-05,-0.06250190740684225,0.0
5.858585858585859e-05,0.0,0.0
5.959595959595959e-05,0.0,0.0
6.0606060606060605e-05,0.0,0.0
6.161616161616162e-05,0.06250190740684225,0.0
6.262626262626262e-05,0.0,-0.06250190740684225
6.363636363636364e-05,-0.06250190740684225,0.0
6.464646464646465e-05,0.0,0.0
6.565656565656565e-05,0.0,0.0
6.666666666666667e-05,0.0,0.0
6.767676767676768e-05,0.0,0.0
6.868686868686868e-05,0.0,0.0
6.96969696969697e-05,0.0,0.0
7.07070707070707e-05,0.0,0.0
7.171717171717172e-05,0.0,-0.06250190740684225
7.272727272727273e-05,0.0,0.0
7.373737373737373e-05,0.0,0.0
7.474747474747475e-05,0.0,0.0
7.575757575757576e-05,-0.06250190740684225,0.0
7.676767676767676e-05,0.0,-0.06250190740684225
7.777777777777778e-05,-0.06250190740684225,0.0
7.878787878787879e-05,0.0,0.0
7.979797979797979e-05,0.0,0.0
8.080808080808081e-05,0.0,0.0
8.181818181818182e-05,0.0,0.0
8.282828282828282e-05,0.0,0.0
8.383838383838384e-05,0.0,0.0
8.484848484848485e-05,0.0,0.0
8.585858585858586e-05,0.0,-0.06250190740684225
8.686868686868687e-05,0.0,0.0
8.787878787878787e-05,0.0,0.0
8.888888888888889e-05,0.0,0.0
8.98989898989899e-05,0.0,0.0
9.09090909090909e-05,0.0,0.0
9.191919191919192e-05,0.0,-0.06250190740684225
9.292929292929293e-05,0.0,0.0
9.393939393939393e-05,0.0,0.0
9.494949494949495e-05,0.0,0.0
9.595959595959596e-05,0.0,0.0
9.696969696969696e-05,0.0,0.0
9.797979797979798e-05,0.0,0.0
9.898989898989899e-05,0.0,0.0
0.0001,0.0,0.0
0.0,0.0,-0.06250190740684225
1.01010101010101e-06,0.0,0.0
2.02020202020202e-06,0.0,-0.06250190740684225
3.03030303030303e-06,0.0,0.0
4.04040404040404e-06,0.0,0.0
5.050505050505051e-06,0.0,0.0
6.06060606060606e-06,0.0,0.06250190740684225
7.0707070707070704e-06,0.0,0.0
8.08080808080808e-06,0.0,-0.06250190740684225
9.090909090909091e-06,0.0,0.0
1.0101010101010101e-05,0.0,0.0
1.1111111111111112e-05,0.0,0.0
1.212121212121212e-05,0.0,0.0
1.313131313131313e-05,0.0,0.0
1.4141414141414141e-05,0.0,0.0
1.5151515151515151e-05,0.06250190740684225,0.0
1.616161616161616e-05,0.06250190740684225,0.0
1.717171717171717e-05,-0.06250190740684225,0.0
1.8181818181818182e-05,0.0,-0.06250190740684225
1.919191919191919e-05,0.0,0.0
2.0202020202020203e-05,0.0,0.0
2.121212121212121e-05,0.0,0.0
2.2222222222222223e-05,0.0,0.06250190740684225
2.3232323232323232e-05,0.0,0.0
2.424242424242424e-05,0.0,0.0
2.5252525252525253e-05,0.0,0.0
2.626262626262626e-05,0.0,-0.06250190740684225
2.7272727272727273e-05,0.0,-0.06250190740684225
2.8282828282828282e-05,0.0,0.0
2.9292929292929294e-05,0.0,0.0
3.0303030303030302e-05,0.0,0.0
3.131313131313131e-05,0.0,0.0
3.232323232323232e-05,-0.06250190740684225,0.0
3.3333333333333335e-05,0.0,0.0
3.434343434343434e-05,0.0,0.0
3.535353535353535e-05,0.0,0.0
3.6363636363636364e-05,0.0,0.0
3.7373737373737376e-05,0.0,0.0
3.838383838383838e-05,0.0,0.0
3.939393939393939e-05,0.0,0.0
4.0404040404040405e-05,0.0,0.0
4.141414141414141e-05,0.0,0.0
4.242424242424242e-05,0.0,0.0
4.3434343434343435e-05,0.0,0.0
4.4444444444444447e-05,0.0,0.0
4.545454545454545e-05,-0.06250190740684225,0.0
4.6464646464646464e-05,0.0,0.0
4.7474747474747476e-05,0.0,0.0
4.848484848484848e-05,0.0,0.0
4.949494949494949e-05,0.0,0.0
5.0505050505050505e-05,0.0,0.0
5.151515151515152e-05,0.0,0.0
5.252525252525252e-05,-0.06250190740684225,0.0
5.3535353535353534e-05,0.0,0.0
5.4545454545454546e-05,0.0,0.0
5.555555555555556e-05,0.06250190740684225,0.0
5.6565656565656563e-05,0.0,0.0
5.7575757575757575e-05,0.0,0.0
5.858585858585859e-05,0.0,-0.06250190740684225
5.959595959595959e-05,0.0,0.0
6.0606060606060605e-05,-0.06250190740684225,0.0
6.161616161616162e-05,0.0,0.0
6.262626262626262e-05,0.0,0.0
6.363636363636364e-05,0.0,0.0
6.464646464646465e-05,0.0,0.0
6.565656565656565e-05,0.0,0.0
6.666666666666667e-05,0.0,0.0
6.767676767676768e-05,0.0,0.0
6.868686868686868e-05,0.06250190740684225,0.0
6.96969696969697e-05,0.0,0.0
7.07070707070707e-05,0.0,0.0
7.171717171717172e-05,-0.06250190740684225,0.0
7.272727272727273e-05,0.0,0.0
7.373737373737373e-05,0.0,0.0
7.474747474747475e-05,0.0,0.0
7.575757575757576e-05,0.0,0.0
7.676767676767676e-05,0.0,0.0
7.777777777777778e-05,0.0,0.0
7.878787878787879e-05,0.0,0.0
7.979797979797979e-05,0.0,0.0
8.080808080808081e-05,0.0,0.0
8.181818181818182e-05,0.0,0.0
8.282828282828282e-05,0.0,0.0
8.383838383838384e-05,0.0,0.0
8.484848484848485e-05,0.0,0.0
8.585858585858586e-05,0.0,0.0
8.686868686868687e-05,0.0,0.0
8.787878787878787e-05,0.0,0.0
8.888888888888889e-05,0.0,0.0
8.98989898989899e-05,0.0,0.0
9.09090909090909e-05,0.0,0.0
9.191919191919192e-05,0.0,0.0
9.292929292929293e-05,0.0,0.0
9.393939393939393e-05,0.0,0.0
9.494949494949495e-05,0.0,0.0
9.595959595959596e-05,0.0,0.0
9.696969696969696e-05,0.0,0.0
9.797979797979798e-05,0.0,0.0
9.898989898989899e-05,0.0,0.0
0.0001,0.0,0.0
0.0,0.0,0.0
1.01010101010101e-06,0.0,0.0
2.02020202020202e-06,0.0,0.0
3.03030303030303e-06,0.0,0.0
4.04040404040404e-06,0.0,0.06250190740684225
5.050505050505051e-06,0.0,0.0
6.06060606060606e-06,0.0,0.0
7.0707070707070704e-06,0.0,0.0
8.08080808080808e-06,0.0,0.0
9.090909090909091e-06,0.0,0.0
1.0101010101010101e-05,0.0,0.0
1.1111111111111112e-05,0.0,0.0
1.212121212121212e-05,0.0,0.0
1.313131313131313e-05,0.0,0.0
1.4141414141414141e-05,-0.06250190740684225,0.0
1.5151515151515151e-05,0.0,0.0
1.616161616161616e-05,0.0,0.0
1.717171717171717e-05,0.0,0.0
1.8181818181818182e-05,0.0,0.0
1.919191919191919e-05,0.0,0.0
2.0202020202020203e-05,-0.06250190740684225,0.0
2.121212121212121e-05,0.0,0.0
2.2222222222222223e-05,0.0,0.0
2.3232323232323232e-05,0.0,0.0
2.424242424242424e-05,0.0,0.0
2.5252525252525253e-05,0.0,0.0
2.626262626262626e-05,0.0,0.0
2.7272727272727273e-05,0.0,0.0
2.8282828282828282e-05,0.0,0.0
2.9292929292929294e-05,0.0,0.0
3.0303030303030302e-05,0.0,-0.06250190740684225
3.131313131313131e-05,0.0,-0.06250190740684225
3.232323232323232e-05,0.0,0.0
3.3333333333333335e-05,0.0,0.0
3.434343434343434e-05,0.0,0.0
3.535353535353535e-05,0.0,0.0
3.6363636363636364e-05,-0.06250190740684225,0.0
3.7373737373737376e-05,0.0,0.0
3.838383838383838e-05,0.0,0.0
3.939393939393939e-05,-0.06250190740684225,0.0
4.0404040404040405e-05,-0.06250190740684225,0.0
4.141414141414141e-05,0.0,0.0
4.242424242424242e-05,0.0,0.0
4.3434343434343435e-05,0.0,0.0
4.4444444444444447e-05,0.0,0.0
4.545454545454545e-05,0.0,0.0
4.6464646464646464e-05,0.0,0.0
4.7474747474747476e-05,0.0,-0.06250190740684225
4.848484848484848e-05,0.0,0.0
4.949494949494949e-05,0.0,0.0
5.0505050505050505e-05,0.0,-0.06250190740684225
5.151515151515152e-05,0.0,0.0
5.252525252525252e-05,-0.06250190740684225,-0.06250190740684225
5.3535353535353534e-05,0.0,0.0
5.4545454545454546e-05,0.0,0.0
5.555555555555556e-05,0.0,0.0
5.6565656565656563e-05,0.0,0.0
5.7575757575757575e-05,0.0,0.0
5.858585858585859e-05,0.0,-0.06250190740684225
